x, y
6.91553544494721, 4.980592441266598
9.871794871794872, 8.034729315628192
10.241327300150829, 8.239019407558732
11.98340874811463, 9.035750766087844
15.678733031674208, 9.628192032686414
18.89894419306184, 9.99591419816139
20.74660633484163, 10.16956077630235
24.283559577677224, 10.394279877425944
28.08446455505279, 10.567926455566905
30.301659125188536, 10.680286006128703
33.574660633484164, 10.93564862104188
36.90045248868778, 11.221654749744637
41.757164404223225, 11.681307456588355
45.5052790346908, 11.997957099080695
49.09502262443439, 12.355464759959142
52.209653092006036, 12.621041879468846
56.010558069381595, 12.917262512768131
60.76168929110106, 13.284984678243106
64.82654600301659, 13.509703779366701
68.46907993966818, 13.724208375893769
70, 13.82635342185904